,Unnamed: 0,county,risk,statename,stateAbbrev
256,11534,CarbonCounty,53.144339547312,Colorado,CO
257,11551,FremontCounty,52.40549312020779,Colorado,CO
258,11553,RioGrandeCounty,52.37042213748139,Colorado,CO
259,11555,ProwersCounty,52.0693278625603,Colorado,CO
260,11558,JeffersonCounty,51.9572813095535,Colorado,CO
261,11568,CrowleyCounty,51.615983202209215,Colorado,CO
262,11574,BoulderCounty,51.3784052048034,Colorado,CO
263,11604,ArapahoeCounty,50.0767148534664,Colorado,CO
264,11611,MorganCounty,49.9271700513556,Colorado,CO
265,11614,CheyenneCounty,49.8631259813289,Colorado,CO
266,11618,SaguacheCounty,49.7172803379354,Colorado,CO
267,11635,CostillaCounty,49.2189316042374,Colorado,CO
268,11647,YumaCounty,48.834992349862006,Colorado,CO
269,11662,SedgwickCounty,48.35176498074579,Colorado,CO
270,11666,BacaCounty,48.137503129554005,Colorado,CO
271,11667,ArchuletaCounty,48.116197796327114,Colorado,CO
272,11673,GoshenCounty,48.0059206117597,Colorado,CO
273,11678,WashingtonCounty,47.76535338480871,Colorado,CO
274,11692,DeltaCounty,47.3205168883697,Colorado,CO
275,11700,KiowaCounty,47.161404366858704,Colorado,CO
276,11718,MontezumaCounty,46.7839001897678,Colorado,CO
277,11725,PhillipsCounty,46.66796714277739,Colorado,CO
278,11729,UintaCounty,46.5765392013204,Colorado,CO
279,11735,LoganCounty,46.429638535352,Colorado,CO
280,11742,KitCarsonCounty,46.319745808604004,Colorado,CO
281,11747,SweetwaterCounty,46.1823233723204,Colorado,CO
282,11750,BigHornCounty,46.086932304571285,Colorado,CO
283,11766,ElbertCounty,45.6742662261675,Colorado,CO
284,11767,CampbellCounty,45.6485169291473,Colorado,CO
285,11779,MoffatCounty,45.337550293427704,Colorado,CO
286,11783,LaPlataCounty,45.2789282217661,Colorado,CO
287,11800,WestonCounty,44.799542679865205,Colorado,CO
288,11818,GarfieldCounty,44.1434806969213,Colorado,CO
289,11821,PlatteCounty,43.96212003859222,Colorado,CO
290,11910,LincolnCounty,42.2782355859855,Colorado,CO
291,11911,TellerCounty,42.2668751873498,Colorado,CO
292,11915,HuerfanoCounty,42.2176989655883,Colorado,CO
293,11921,ChaffeeCounty,42.1089552018647,Colorado,CO
294,11933,SheridanCounty,41.8275431101079,Colorado,CO
295,11936,DoloresCounty,41.7906554640667,Colorado,CO
296,11942,DouglasCounty,41.70403435418461,Colorado,CO
297,11953,LaramieCounty,41.3928774998655,Colorado,CO
298,11957,WashakieCounty,41.281279242715,Colorado,CO
299,11974,JacksonCounty,41.0377083207479,Colorado,CO
300,11978,NiobraraCounty,40.985023770654,Colorado,CO
301,11984,SanJuanCounty,40.8877116270399,Colorado,CO
302,11986,LakeCounty,40.8490435251662,Colorado,CO
303,11997,ClearCreekCounty,40.50982072629,Colorado,CO
304,12013,AlbanyCounty,40.20774295265429,Colorado,CO
305,12050,CusterCounty,39.5961435407383,Colorado,CO
306,12057,SanMiguelCounty,39.471243583315,Colorado,CO
307,12060,ConverseCounty,39.4293554958984,Colorado,CO
308,12088,GrandCounty,38.93952888882321,Colorado,CO
309,12123,ParkCounty,38.303623634857104,Colorado,CO
310,12151,JohnsonCounty,37.739079326590904,Colorado,CO
311,12152,CrookCounty,37.7390145054468,Colorado,CO
312,12172,RouttCounty,37.524964256553,Colorado,CO
313,12182,GilpinCounty,37.39033135533821,Colorado,CO
314,12194,BroomfieldCounty,37.1829474988129,Colorado,CO
315,12283,HotSpringsCounty,35.783198644682706,Colorado,CO
316,12295,RioBlancoCounty,35.584831714783,Colorado,CO
317,12297,GunnisonCounty,35.544024003729795,Colorado,CO
318,12340,SubletteCounty,34.8951265544951,Colorado,CO
319,12395,PitkinCounty,33.9343807829646,Colorado,CO
320,12447,MineralCounty,33.218030775356695,Colorado,CO
321,12470,TetonCounty,32.9081113258214,Colorado,CO
322,12551,SummitCounty,31.405573324696803,Colorado,CO
323,12597,OurayCounty,30.3432682835175,Colorado,CO
324,12657,HinsdaleCounty,29.2101151911177,Colorado,CO
325,12732,WeldCounty,26.971516410556504,Connecticut,CT
326,12733,ArapahoeCounty,26.8993770555328,Connecticut,CT
327,12734,MesaCounty,26.8946157913638,Connecticut,CT
328,12736,BoulderCounty,26.8521657155287,Connecticut,CT
329,12738,SummitCounty,26.8243941793955,Connecticut,CT
330,12740,JeffersonCounty,26.8146215532229,Connecticut,CT
331,12742,DouglasCounty,26.738825667908802,Connecticut,CT
332,12743,LaPlataCounty,26.7231345928079,Connecticut,CT
333,12749,FremontCounty,26.1911999626933,Connecticut,CT
334,12750,EagleCounty,26.168584586652894,Connecticut,CT
335,12752,ElPasoCounty,26.1395667872968,Connecticut,CT
336,12754,LarimerCounty,26.026488839179397,Connecticut,CT
337,12755,BroomfieldCounty,25.9717240487787,Connecticut,CT
338,12757,LaramieCounty,25.9563552859175,Connecticut,CT
339,12765,DenverCounty,25.5421201855787,Connecticut,CT
340,12777,NatronaCounty,24.9784181135192,Connecticut,CT
341,12779,AlbanyCounty,24.9112685034898,Connecticut,CT
342,12792,GunnisonCounty,24.454402111237602,Connecticut,CT
343,12793,GrandCounty,24.433464298584198,Connecticut,CT
344,12813,SanMiguelCounty,23.450499817891608,Connecticut,CT
345,12814,AdamsCounty,23.4211535257351,Connecticut,CT
346,12823,RouttCounty,22.807949287315893,Connecticut,CT
347,12840,NewLondonCounty,67.5461650712278,Connecticut,CT
348,12841,NewHavenCounty,64.5080037774475,Connecticut,CT
349,12842,MiddlesexCounty,62.900408721706114,Connecticut,CT
350,12843,HartfordCounty,61.1471943947177,Connecticut,CT
351,12847,WindhamCounty,60.379326460440105,Connecticut,CT
352,12851,ProvidenceCounty,59.407645513645896,Connecticut,CT
353,12860,FairfieldCounty,57.574439253463,Connecticut,CT
354,12954,KentCounty,51.4569272114183,Connecticut,CT
355,12991,LitchfieldCounty,49.1393009290428,Connecticut,CT
356,13050,TollandCounty,46.794761772761,Connecticut,CT
357,13084,WashingtonCounty,45.495361727118905,Connecticut,CT
358,13112,NewportCounty,44.4037586131088,Connecticut,CT
359,13259,BristolCounty,40.082251063274605,Connecticut,CT
360,13555,ProvidenceCounty,33.7322516725278,Delaware,DE
361,13556,HartfordCounty,33.7317001396264,Delaware,DE
362,13557,FairfieldCounty,33.7013526058009,Delaware,DE
363,13560,NewHavenCounty,33.6173867350246,Delaware,DE
364,13562,KentCounty,33.592348018596894,Delaware,DE
